MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,city_area,coordinates
"60,3,65.0,8450,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2003,1,1,12,13,196.0,4,3,2,4.0,3.0,0.0,706,0,150,856,1,5,1,856,854,0,1710,1,0,2,1,3,1,4,8,6,0,0.0,2,2003.0,2,2,548,3.0,3.0,2,0,61,0,0,0,0,0.0,0,2,2008,8,4,208500,2,""(-93.649801, 42.055131, 'Ames')"""
"20,3,80.0,9600,1,3,3,0,2,0,24,1,2,0,2,6,8,1976,1976,1,1,8,8,0.0,3,3,1,4.0,3.0,4.0,978,0,284,1262,1,5,1,1262,0,0,1262,0,1,2,0,3,1,3,6,6,1,3.0,2,1976.0,2,2,460,3.0,3.0,2,298,0,0,0,0,0,0.0,0,5,2007,8,4,181500,2,""(-93.650916, 42.039101, 'Ames')"""
"60,3,68.0,11250,1,0,3,0,4,0,5,2,2,0,5,7,5,2001,2002,1,1,12,13,162.0,4,3,2,4.0,3.0,2.0,486,0,434,920,1,5,1,920,866,0,1786,1,0,2,1,3,1,4,6,6,1,3.0,2,2001.0,2,2,608,3.0,3.0,2,0,42,0,0,0,0,0.0,0,9,2008,8,4,223500,1,""(-93.581393, 42.035272, 'Ames')"""
"70,3,60.0,9550,1,0,3,0,0,0,6,2,2,0,5,7,5,1915,1970,1,1,13,15,0.0,3,3,0,3.0,4.0,0.0,216,0,540,756,1,4,1,961,756,0,1717,1,0,1,0,3,1,4,7,6,1,4.0,6,1998.0,3,3,642,3.0,3.0,2,0,35,272,0,0,0,0.0,0,2,2006,8,0,140000,3,""(-93.604829, 42.026535, 'Ames')"""
"60,3,84.0,14260,1,0,3,0,2,0,15,2,2,0,5,8,5,2000,2000,1,1,12,13,350.0,4,3,2,4.0,3.0,3.0,655,0,490,1145,1,5,1,1145,1053,0,2198,1,0,2,1,4,1,4,9,6,1,3.0,2,2000.0,2,3,836,3.0,3.0,2,192,84,0,0,0,0,0.0,0,12,2008,8,4,250000,1,""(-93.614793, 42.030686, 'Ames')"""
"50,3,85.0,14115,1,0,3,0,4,0,11,2,2,0,0,5,5,1993,1995,1,1,12,13,0.0,3,3,5,4.0,3.0,0.0,732,0,64,796,1,5,1,796,566,0,1362,1,0,1,1,1,1,3,5,6,0,0.0,2,1993.0,3,2,480,3.0,3.0,2,40,30,0,320,0,0,0.0,700,10,2009,8,4,143000,3,""(-93.613545, 42.013819, 'Ames')"""
"20,3,75.0,10084,1,3,3,0,4,0,21,2,2,0,2,8,5,2004,2005,1,1,12,13,186.0,4,3,2,5.0,3.0,3.0,1369,0,317,1686,1,5,1,1694,0,0,1694,1,0,2,0,3,1,4,7,6,1,4.0,2,2004.0,2,2,636,3.0,3.0,2,255,57,0,0,0,0,0.0,0,8,2007,8,4,307000,1,""(-93.609174, 42.035132, 'Ames')"""
"60,3,0.0,10382,1,0,3,0,0,0,14,4,2,0,5,7,6,1973,1973,1,1,6,6,240.0,3,3,1,4.0,3.0,2.0,859,32,216,1107,1,5,1,1107,983,0,2090,1,0,2,1,3,1,3,7,6,2,3.0,2,1973.0,2,2,484,3.0,3.0,2,235,204,228,0,0,0,0.0,350,11,2009,8,4,200000,2,""(-93.646838, 42.044788, 'Ames')"""
"50,4,51.0,6120,1,3,3,0,4,0,17,0,2,0,0,7,5,1931,1950,1,1,3,15,0.0,3,3,0,3.0,3.0,0.0,0,0,952,952,1,4,1,1022,752,0,1774,0,0,2,0,2,2,3,8,2,2,3.0,6,1931.0,3,2,468,2.0,3.0,2,90,0,205,0,0,0,0.0,0,4,2008,8,0,129900,4,""(-93.625784, 42.022762, 'Ames')"""
"190,3,50.0,7420,1,3,3,0,0,0,3,0,0,1,1,5,6,1939,1950,1,1,8,8,0.0,3,3,0,3.0,3.0,0.0,851,0,140,991,1,5,1,1077,0,0,1077,1,0,1,0,2,2,3,5,6,2,3.0,2,1939.0,2,1,205,4.0,3.0,2,0,4,0,0,0,0,0.0,0,1,2008,8,4,118000,4,""(-93.628204, 42.023014, 'Ames')"""
